t (s),v (m/s)
846.2982287,12.19999981
847.2936311,11.68000031
848.2977854,11.96000004
849.2857795,11.39000034
850.2932219,11.21000004
851.3009583,11.18000031
852.2986344,10.85000038
853.300622,10.73999977
854.3017483,10.61999989
855.3004076,10.60000038
856.2863857,10.53999996
857.3010236,10.53999996
858.3013416,10.60000038
859.3001696,10.48999977
860.2870665,10.19999981
861.3061375,10.18000031
862.302771,10.10999966
863.295843,10.02999973
864.2997737,10.19999981
865.2968973,9.770000458
866.3026163,8.899999619
867.2966113,8.930000305
868.298028,8.960000038
869.3059197,9.25
870.2968441,9.489999771
871.3015493,9.880000114
872.3068508,10.09000015
873.3015059,10.82999992
874.2951144,10.75
875.2958254,11.22000027
876.3015262,11.53999996
877.3024248,11.61999989
878.2962669,11.81000042
879.2953775,12.17000008
880.2983358,12.36999989
881.2961886,12.11999989
882.2882527,12.10999966
883.3068858,12.05000019
884.2938875,11.92000008
885.2871462,11.98999977
886.2972798,12.07999992
887.3062277,12.21000004
888.3016971,12.31000042
889.2912049,12.25
890.3024039,12.14999962
891.2957427,12.10000038
892.293092,11.88000011
893.2936249,11.81000042
894.2995786,11.89999962
895.2956403,11.94999981
896.2927449,11.69999981
897.3073143,12.13000011
898.2906585,12.21000004
899.297238,12.55000019
900.3063662,12.72000027
901.3075493,13.06999969
902.2957259,13.30000019
903.2908757,13.48999977
904.3106744,13.77999973
905.2983553,13.98999977
906.2969281,14.19999981
907.2926706,14.44999981
908.298803,14.56000042
909.3004711,15.07999992
910.2933548,15.22000027
911.2955777,15.47000027
912.3036987,15.77000046
913.2955806,15.86999989
914.2929881,16.13999939
915.2987673,16.43000031
916.289425,16.62000084
917.2996398,17.19000053
918.3239685,17.67000008
919.2846307,17.88999939
920.2891315,17.64999962
921.2954665,16.34000015
922.2953798,14.63000011
923.2980927,13.07999992
924.2985486,11.77999973
925.291398,12.23999977
926.2996691,12.13000011
927.3014989,11.80000019
928.2930014,11.72999954
929.2939634,11.48999977
930.31207,11.32999992
931.3023302,11.63000011
932.288702,12
933.3050121,11.78999996
934.2967167,12
935.3024343,11.84000015
936.2935335,11.35999966
937.2996254,11.06999969
938.3010208,10.97000027
939.3016684,11.32999992
940.2975633,11.25
941.2928821,11.38000011
942.2783185,11.11999989
943.2908928,9.909999847
944.2937122,9.840000153
945.3011651,10.22999954
946.2981884,9.909999847
947.3005129,10.07999992
948.3032184,10.26000023
949.2955531,10.28999996
950.2897111,10.48999977
951.2928813,10.84000015
952.2954389,10.59000015
953.288453,10.51000023
954.2970366,9.899999619
955.2957542,9.720000267
956.2938958,9.600000381
957.2975534,9.420000076
958.2956907,9.529999733
959.3007379,9.829999924
960.3016955,10.09000015
961.3009154,9.869999886
962.3034895,9.869999886
963.3068249,10.09000015
964.293552,10.06999969
965.2892564,9.949999809
966.2972885,9.970000267
967.2959959,9.880000114
968.2933983,9.930000305
969.2981891,10.13000011
970.3015359,10.40999985
971.3156683,10.60000038
972.3140513,10.60000038
973.3023604,10.22000027
974.3101226,10.63000011
975.2999319,10.27999973
976.302484,10.35000038
977.3044608,10.28999996
978.2911167,10.02000046
979.2889559,10.01000023
980.2923737,10.02000046
981.3009307,10.10999966
982.3002206,10.02000046
983.3025148,9.75
984.3258052,9.449999809
985.3003077,9.340000153
986.2885808,9.43999958
987.3014644,9.289999962
988.3011751,9.369999886
989.2922787,9.319999695
990.297667,9.840000153
991.3036005,9.479999542
992.2995307,9.479999542
993.3042702,10.06999969
994.2925938,9.890000343
995.2999119,10.14999962
996.3089962,10.47999954
997.3020931,10.44999981
998.2945257,10.56999969
999.3042649,10.61999989
1000.291993,10.68999958
1001.289355,10.84000015
1002.308905,11.05000019
1003.297231,11.02999973
1004.298381,10.81999969
1005.297805,10.56999969
1006.296795,10.01000023
1007.301812,9.840000153
1008.294195,9.75
1009.306226,9.409999847
1010.289571,9.5
1011.302453,9.659999847
1012.293131,9.600000381
1013.289399,9.930000305
1014.292032,10.11999989
1015.305243,10.78999996
1016.298011,10.97000027
1017.295433,10.85999966
1018.307741,10.73999977
1019.301499,10.97999954
1020.296982,11.15999985
1021.312815,11.01000023
1022.288739,11.06999969
1023.296407,10.89000034
1024.294813,10.86999989
1025.288009,10.69999981
1026.303078,10.35999966
1027.299936,10.15999985
1028.292117,9.850000381
1029.295545,10.03999996
1030.301454,10.15999985
1031.294547,10.14000034
1032.306051,10.11999989
1033.293454,10.15999985
1034.293177,10.27000046
1035.290138,10.27999973
1036.293923,10.25
1037.302411,10.19999981
1038.294063,10.18999958
1039.297397,10.19999981
1040.283037,10.35999966
1041.302656,10.22000027
1042.295023,10.19999981
